Method,CRF,MAE,MAE_Std,RMSE,RMSE_Std,MAPE,MAPE_Std,Pearson,Pearson_Std,SNR,SNR_Std
ICA,0,15.096079192546584,0.9802867580131231,26.30658310728833,7.7586180413953345,14.273460074351366,0.8727163501987344,0.39358059166619697,0.04191602132587786,-6.462167188874876,0.2738326017847208
POS,0,2.9551630434782608,0.3425431458362842,8.08740893477871,3.778215506772617,2.988598071429831,0.325457782213229,0.8907804138063681,0.02072040656428095,-3.264781446589299,0.13190258335212612
CHROM,0,3.7267080745341614,0.4128558208110446,9.808958592651937,4.403194276996051,3.8285473234418483,0.40954977777502044,0.8451702801791966,0.024370972027199858,-3.742410739003665,0.14736454810901783
GREEN,0,17.614518633540374,1.0912010205515144,29.755484636859453,8.351162810607002,17.113898550161842,1.0090097833299871,0.4073628621853374,0.041641363034967,-6.413649218631697,0.2404021958679463
LGI,0,9.899068322981366,0.9119811901769103,22.354134618237396,7.83127920661181,9.51269887848066,0.8272852720356269,0.5311804495458758,0.03863167212946099,-4.480284159053603,0.2148580572655306
PBV,0,18.44429347826087,1.076997779591178,30.007255103411687,8.357833242030853,17.84555631473117,0.9830488421662833,0.3703092337951337,0.04235458359234325,-7.469064692521934,0.25645932857421894
OMIT,0,9.899068322981366,0.9119811901769103,22.354134618237396,7.83127920661181,9.51269887848066,0.8272852720356269,0.5311804495458758,0.03863167212946099,-4.480219573518661,0.21489992055087193
ICA,14,25.067934782608695,1.0004154461787367,33.3437064322103,8.092305046978932,23.887077051798318,0.8813040629395542,0.1879870610097002,0.044783165851069034,-10.049707966175308,0.2708654295777328
POS,14,16.944875776397517,0.7723455912738747,23.984304662581227,6.3945346097720055,16.524789057864076,0.7316988878306983,0.23522294475128203,0.044316715126812484,-9.454497163258067,0.22731348861064318
CHROM,14,14.309976708074535,0.7653956352658311,22.084645220002983,6.255518664606476,13.821581170700453,0.7217086498292259,0.36569135961728333,0.04243791673150205,-8.163479548458579,0.20625239785477165
GREEN,14,26.800271739130434,1.1519587157128226,36.86732775288422,8.768891714144313,25.87151079122696,1.0478724022634622,0.2505750777443714,0.04414143141760846,-8.963015893364263,0.24547271256432368
LGI,14,28.954774844720497,1.100053623768066,37.720895645693204,8.879495875066796,27.539882335471056,0.9675718121733297,0.057494531913999086,0.045520651199811114,-10.749938604286873,0.22509016814918595
PBV,14,31.53144409937888,1.049413036671869,39.065896591458966,8.754007298083794,30.59496036016622,0.9362419047563489,0.0779447692378621,0.045457357343901744,-11.637699130528366,0.22735231460935756
OMIT,14,28.998447204968944,1.0993091173278202,37.743953673627324,8.890421933315118,27.58240681122534,0.9658797780309685,0.05699000972058527,0.045521970177030295,-10.757386925587834,0.2252785490989916
ICA,16,26.611024844720497,0.9979669589064364,34.4845577317245,8.163126740978335,25.45962963515797,0.8815923753353818,0.13748018330689019,0.0451631185242972,-10.791431935175574,0.27609393333003435
POS,16,19.143051242236027,0.7769949926688358,25.652558536378876,6.621130370892028,18.662462778571467,0.7305928513436877,0.14604013550875256,0.0451072245026193,-10.10309995468008,0.2232523264304412
CHROM,16,16.624611801242235,0.7798594366748429,23.877374550626385,6.506862613304529,16.2071031074502,0.746202984716854,0.29343798403324933,0.04358884991432368,-8.954489992457502,0.20898817636751577
GREEN,16,29.260481366459626,1.1284987959106034,38.35727928219693,8.795201345750737,28.210877688960682,1.021184030773332,0.21516268218081844,0.04452813402494849,-9.830824937469966,0.23657801901114492
LGI,16,30.48330745341615,1.078398285804269,38.61260721635169,8.909435721595525,29.078942619171066,0.9368739528180912,0.07205491957756609,0.04547755583069559,-11.409045727920507,0.21993704222333177
PBV,16,33.5549301242236,1.0012891434850275,40.12704139282364,8.715148961518112,32.545813757378475,0.8779143318304755,0.09095586513856121,0.045407076083067766,-12.144095305770083,0.2269964126543566
OMIT,16,30.33773291925466,1.0770711070441883,38.47983532463496,8.894624258749062,28.949543033249743,0.9362343984282037,0.07687889846463059,0.04546113084623882,-11.416373668975853,0.22116584038044543
ICA,18,28.314246894409937,0.9315234821142531,34.940135433356865,7.866565652611002,27.305497191008605,0.8234549370541537,0.15323714707394412,0.045057560247541,-11.852698489926702,0.2631573692837933
POS,18,20.496894409937887,0.7770898537868742,26.679415922894588,6.644881051284488,19.98656043720752,0.7330424371159986,0.1010791948543033,0.04536254961098593,-11.110775152050284,0.22915414311861027
CHROM,18,19.303183229813666,0.7743794918273292,25.734226243078865,6.45203093983964,18.823878767127233,0.7185763829399937,0.1877447048363035,0.044785279495296065,-10.22607295496275,0.22944116526191752
GREEN,18,33.51125776397515,1.1014291958143594,41.33949742040957,8.845457097907087,32.256737077204164,0.981825664608757,0.10196913526330899,0.045358408587971584,-11.042316176421062,0.2341258559912189
LGI,18,30.920031055900623,0.9998837526900602,37.93331032382287,8.634557104291115,29.83277362604036,0.876232670047642,0.05158480727212366,0.045535369443898265,-12.09464055692182,0.21130121835254226
PBV,18,32.535908385093165,0.9970441455972217,39.22670262840656,8.525412493991222,31.551370390355643,0.8894682499510451,0.07217354137098327,0.04547716476913011,-12.570322790682868,0.2216615190746362
OMIT,18,30.847243788819874,0.9970102606038793,37.83739788127421,8.610810231099055,29.756808643243083,0.8730441819248541,0.04922784077063342,0.04554079343078841,-12.096397072311914,0.2110501017405505
ICA,20,29.95923913043478,0.9306677353747677,36.275374632607516,8.134702075894078,28.737134246215458,0.7924368842039828,0.0979760925700057,0.04537670199289503,-12.49653154045407,0.2687199403418557
POS,20,21.73427795031056,0.769756472574948,27.542120944049707,6.747202601192172,21.254891269457733,0.7321914245402082,0.003349550476338375,0.0455958194757193,-11.766170345919084,0.24620248858542934
CHROM,20,21.646933229813666,0.7770204030324496,27.57183598540326,6.6460389900614745,20.81579165033485,0.7005225773566708,0.13394507305056277,0.04518519796557394,-11.40200434949286,0.24924482564898545
GREEN,20,34.69041149068323,1.0742848209930849,41.96247244620513,8.937781294321846,33.42533500360934,0.9415123487921256,0.049833209709954765,0.04553942458688723,-11.984413179894872,0.23091840710790834
LGI,20,33.35112577639752,0.9973890909058412,39.9096322321428,8.759006089224656,32.21841646055152,0.8632756746059992,0.03443342858539524,0.04556903649748883,-12.94988658792773,0.2291873844968794
PBV,20,34.09355590062112,1.0043552965557279,40.615107192512944,8.762932212272624,32.95412919790359,0.8729132668293769,0.08373752564641687,0.04543593481087953,-12.934028522941459,0.22385527355497278
OMIT,20,33.29289596273292,0.9973798528543288,39.860872736560395,8.750557367853219,32.17268579370285,0.8639630638807442,0.03772320836799734,0.04556362117906025,-12.95947898108748,0.23033866410117326
ICA,22,31.502329192546583,0.9392167441807632,37.662509386085624,8.151248128950417,30.1397616889752,0.79253048444503,0.03991609452222917,0.04555973678822399,-12.802543275966029,0.26673146762041033
POS,22,23.175465838509318,0.7777907895542733,28.797520349507167,6.782948664825399,22.647034017147277,0.7026195065033347,-0.026432201129515602,0.045580144370078415,-12.113784294289811,0.24003306199975014
CHROM,22,22.433035714285715,0.7912717417016284,28.384021728597915,6.728241242407695,21.88692351726215,0.7364871364754374,0.1042109978378374,0.045347814254382585,-11.619787261855661,0.2491931035766909
GREEN,22,37.121506211180126,1.033401523111888,43.51793836265891,8.960150175149069,35.62461769738273,0.8809584156816841,-0.03673882392767849,0.04556529341807515,-12.673079257459806,0.2373786059551759
LGI,22,34.4138198757764,0.965809406666959,40.43324759001515,8.577890795867441,33.43619753353326,0.8384296516974852,-0.042386991830894616,0.0455550965886896,-13.511470203182506,0.2371148161562677
ICA,24,31.56055900621118,0.9207732984035546,37.490900487599895,8.11333659267254,30.444000942049136,0.7922990999777179,0.06679694459815093,0.045494240529959616,-12.880034880872303,0.25856085860128314
POS,24,22.753299689440993,0.7688062759862961,28.340714867934146,6.711677974885739,22.128579658505817,0.6989144258494413,0.0035038188028636364,0.04559579537217438,-12.08796526175726,0.24969662330619855
CHROM,24,24.19448757763975,0.802255475835052,29.937246332513656,6.78730583214386,23.786349678798192,0.7646166948100119,-0.005884314043464235,0.045595285866409256,-11.89047981347529,0.24419154099328008
